Date:  17:19, ÐÇÆÚ¶þ, ¾ÅÔÂ 22, 2020
Model name:u_cylinder_shell
Study name:Thermal 3(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (m)  ,Y (m)  ,Z (m)
1  ,179.863     ,6.09999990  ,0.00000000  ,19.93975830
2  ,180.488     ,6.17493725  ,0.76085228  ,19.93975830
3  ,181.252     ,6.39686966  ,1.49246538  ,19.93975830
4  ,182.209     ,6.75726843  ,2.16672397  ,19.93975830
5  ,183.370     ,7.24228334  ,2.75771642  ,19.93975830
6  ,184.774     ,7.83327627  ,3.24273157  ,19.93975830
7  ,186.524     ,8.50753498  ,3.60313010  ,19.93975830
8  ,188.716     ,9.23914814  ,3.82506251  ,19.93975830
9  ,191.695     ,10.00000000  ,3.90000010  ,19.93975830
10  ,190.714     ,10.00000000  ,3.28933811  ,20.22918129
11  ,189.435     ,10.00000000  ,2.65738702  ,20.46858215
12  ,188.036     ,10.00000000  ,2.00823712  ,20.65640831
13  ,186.677     ,10.00000000  ,1.34608948  ,20.79144478
14  ,185.412     ,10.00000000  ,0.67522985  ,20.87281609
15  ,184.255     ,10.00000000  ,0.00000000  ,20.89999962
16  ,183.582     ,9.32476997  ,0.00000000  ,20.87281609
17  ,182.869     ,8.65391064  ,0.00000000  ,20.79144478
18  ,182.124     ,7.99176311  ,0.00000000  ,20.65640831
19  ,181.369     ,7.34261274  ,0.00000000  ,20.46858215
20  ,180.618     ,6.71066189  ,0.00000000  ,20.22918129
21  ,184.014     ,7.76234484  ,2.23765492  ,20.28111839
22  ,184.452     ,8.30325603  ,1.69674361  ,20.54997635
23  ,184.639     ,8.85997772  ,1.14002252  ,20.74382782
24  ,184.565     ,9.42732048  ,0.57267916  ,20.86086655
25  ,182.718     ,7.26312351  ,1.66419137  ,20.26530647
26  ,183.073     ,7.79684401  ,1.13732803  ,20.52574539
27  ,183.252     ,8.36676121  ,0.58509725  ,20.71889305
28  ,181.666     ,6.89208555  ,1.02026081  ,20.23692131
29  ,181.977     ,7.43287039  ,0.52247834  ,20.48103142
30  ,185.555     ,8.33580875  ,2.73687673  ,20.26530647
31  ,186.068     ,8.86267185  ,2.20315623  ,20.52574539
32  ,186.255     ,9.41490269  ,1.63323879  ,20.71889305
33  ,187.401     ,8.97973919  ,3.10791421  ,20.23692131
34  ,187.934     ,9.47752094  ,2.56713080  ,20.48103142
35  ,179.896     ,11.94999981  ,-3.37749910  ,19.93975830
36  ,179.455     ,11.33387852  ,-3.66480112  ,19.93975830
37  ,179.094     ,10.67722797  ,-3.84075022  ,19.93975830
38  ,178.829     ,10.00000000  ,-3.90000010  ,19.93975830
39  ,178.635     ,9.32277203  ,-3.84075022  ,19.93975830
40  ,178.550     ,8.66612148  ,-3.66480112  ,19.93975830
41  ,178.488     ,8.05000019  ,-3.37749910  ,19.93975830
42  ,179.255     ,8.35533142  ,-2.84865022  ,20.22918129
43  ,180.091     ,8.67130661  ,-2.30136466  ,20.46858215
44  ,180.984     ,8.99588108  ,-1.73918438  ,20.65640831
45  ,181.953     ,9.32695484  ,-1.16574764  ,20.79144478
46  ,183.025     ,9.66238499  ,-0.58476621  ,20.87281609
47  ,184.804     ,10.67523003  ,0.00000000  ,20.87281609
48  ,185.225     ,11.34608936  ,0.00000000  ,20.79144478
49  ,185.469     ,12.00823689  ,0.00000000  ,20.65640831
50  ,185.494     ,12.65738678  ,0.00000000  ,20.46858215
51  ,185.307     ,13.28933811  ,0.00000000  ,20.22918129
52  ,184.906     ,13.89999962  ,0.00000000  ,19.93975830
53  ,183.681     ,13.84075069  ,-0.67722791  ,19.93975830
54  ,182.654     ,13.66480160  ,-1.33387852  ,19.93975830
55  ,181.778     ,13.37749863  ,-1.95000005  ,19.93975830
56  ,181.043     ,12.98757362  ,-2.50687170  ,19.93975830
57  ,180.415     ,12.50687122  ,-2.98757339  ,19.93975830
58  ,180.745     ,11.58226109  ,-2.74055648  ,20.28111839
59  ,181.626     ,11.19977856  ,-2.07807803  ,20.54997635
60  ,182.519     ,10.80611801  ,-1.39623690  ,20.74382782
61  ,183.401     ,10.40494537  ,-0.70138592  ,20.86086655
62  ,181.462     ,12.16397953  ,-2.27677941  ,20.29060173
63  ,182.527     ,11.74984455  ,-1.57024455  ,20.56426620
64  ,183.661     ,11.29935741  ,-0.82246375  ,20.75803947
65  ,182.389     ,12.61518002  ,-1.67140543  ,20.30558968
66  ,183.764     ,12.09938240  ,-0.87273270  ,20.58646584
67  ,183.613     ,12.88638496  ,-0.93370908  ,20.33306885
68  ,184.159     ,13.32984543  ,-0.56369036  ,20.19118881
69  ,180.243     ,10.88976002  ,-3.01245093  ,20.29060173
70  ,181.075     ,10.48494911  ,-2.30053186  ,20.56426620
71  ,181.936     ,10.06259632  ,-1.53650963  ,20.75803947
72  ,179.891     ,10.13988876  ,-3.10051537  ,20.30558968
73  ,180.774     ,9.70611858  ,-2.25448489  ,20.58646584
74  ,179.707     ,9.36542416  ,-2.96653748  ,20.33306885
75  ,179.180     ,8.82324696  ,-3.16557598  ,20.19118881
76  ,195.001     ,10.67722797  ,3.84075022  ,19.93975830
77  ,198.319     ,11.33387852  ,3.66480112  ,19.93975830
78  ,198.916     ,11.94999981  ,3.37749910  ,19.93975830
79  ,197.236     ,12.50687122  ,2.98757339  ,19.93975830
80  ,193.490     ,12.98757362  ,2.50687170  ,19.93975830
81  ,190.448     ,13.37749863  ,1.95000005  ,19.93975830
82  ,188.190     ,13.66480160  ,1.33387852  ,19.93975830
83  ,186.372     ,13.84075069  ,0.67722791  ,19.93975830
84  ,192.373     ,12.23765469  ,2.23765492  ,20.28111839
85  ,189.841     ,11.69674397  ,1.69674361  ,20.54997635
86  ,187.656     ,11.14002228  ,1.14002264  ,20.74382782
87  ,185.821     ,10.57267952  ,0.57267916  ,20.86086655
88  ,194.113     ,11.66419125  ,2.73687649  ,20.26530647
89  ,190.777     ,11.13732815  ,2.20315623  ,20.52574539
90  ,188.202     ,10.58509731  ,1.63323879  ,20.71889305
91  ,193.942     ,11.02026081  ,3.10791421  ,20.23692131
92  ,190.558     ,10.52247906  ,2.56713080  ,20.48103142
93  ,190.071     ,12.73687649  ,1.66419148  ,20.26530647
94  ,188.347     ,12.20315647  ,1.13732779  ,20.52574539
95  ,186.653     ,11.63323879  ,0.58509707  ,20.71889305
96  ,187.847     ,13.10791397  ,1.02026081  ,20.23692131
97  ,186.719     ,12.56713104  ,0.52247882  ,20.48103142
98  ,179.414     ,6.15924978  ,-0.67722791  ,19.93975830
99  ,179.052     ,6.33519888  ,-1.33387852  ,19.93975830
100  ,178.797     ,6.62250090  ,-1.95000005  ,19.93975830
101  ,178.610     ,7.01242685  ,-2.50687170  ,19.93975830
102  ,178.516     ,7.49312830  ,-2.98757339  ,19.93975830
103  ,179.077     ,11.94999981  ,-3.37749910  ,19.20124817
104  ,178.152     ,11.94999981  ,-3.37749910  ,18.46273804
105  ,177.124     ,11.94999981  ,-3.37749910  ,17.72422981
106  ,176.000     ,11.94999981  ,-3.37749910  ,16.98571968
107  ,174.789     ,11.94999981  ,-3.37749910  ,16.24720955
108  ,173.499     ,11.94999981  ,-3.37749910  ,15.50870037
109  ,172.146     ,11.94999981  ,-3.37749910  ,14.77019119
110  ,170.741     ,11.94999981  ,-3.37749910  ,14.03168201
111  ,169.295     ,11.94999981  ,-3.37749910  ,13.29317188
