Date:  23:26, ÐÇÆÚÈÕ, °ËÔÂ 30, 2020
Model name:Boeing 747-simple_thermal
Study name:Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
1940  ,117.235     ,865.58  ,113.36  ,-27.146
1941  ,117.238     ,865.58  ,129.76  ,-27.647
1942  ,117.232     ,865.58  ,142.45  ,-25.825
1943  ,117.231     ,867.84  ,145  ,-25.941
1944  ,117.226     ,883.75  ,145  ,-27.575
1945  ,117.231     ,865.36  ,143.07  ,-27.756
1946  ,117.231     ,867.91  ,141.78  ,-27.944
1947  ,117.230     ,872.69  ,138.45  ,-27.702
1948  ,117.224     ,882.02  ,136.08  ,-27.353
1949  ,117.238     ,865.58  ,126.51  ,-25.098
1950  ,117.233     ,865.58  ,110.57  ,-24.371
1951  ,117.191     ,865.58  ,94.631  ,-23.645
1952  ,117.081     ,865.58  ,78.691  ,-22.918
1953  ,116.838     ,865.58  ,62.752  ,-22.191
1954  ,116.361     ,865.58  ,46.813  ,-21.464
1955  ,115.468     ,865.58  ,30.873  ,-20.738
1956  ,117.226     ,883.75  ,145  ,-25.941
1957  ,117.225     ,879.68  ,132.24  ,-25.359
1958  ,112.965     ,865.58  ,-14.934  ,-20.011
1959  ,113.814     ,869.84  ,-31.192  ,-20.752
1960  ,114.160     ,874.1  ,-47.45  ,-21.494
1961  ,114.310     ,878.36  ,-63.709  ,-22.235
1962  ,114.378     ,882.62  ,-79.967  ,-22.976
1963  ,114.407     ,886.88  ,-96.225  ,-23.717
1964  ,114.420     ,891.14  ,-112.48  ,-24.459
1965  ,114.122     ,874.53  ,-44.444  ,-21.864
1966  ,113.757     ,870.6  ,-28.952  ,-21.209
1967  ,112.877     ,866.84  ,-13.442  ,-20.762
1968  ,114.429     ,867.84  ,-145  ,-25.941
1969  ,114.272     ,865.58  ,-56.894  ,-25.424
1970  ,114.103     ,865.58  ,-42.907  ,-24.997
1971  ,113.736     ,865.58  ,-28.921  ,-24.571
1972  ,114.427     ,883.78  ,-145  ,-27.574
1973  ,114.429     ,867.84  ,-145  ,-28.045
1974  ,114.427     ,882.21  ,-136.14  ,-27.35
1975  ,113.732     ,865.58  ,-28.921  ,-20.649
1976  ,114.091     ,865.58  ,-42.907  ,-21.286
1977  ,114.270     ,865.58  ,-56.894  ,-21.924
1978  ,114.427     ,883.75  ,-145  ,-25.941
1979  ,114.427     ,879.68  ,-132.24  ,-25.359
1980  ,103.572     ,457.93  ,-170.92  ,-5.106
1981  ,100.842     ,442.64  ,-170.9  ,-6.8781
1982  ,101.512     ,442.64  ,-170.89  ,5.438
1983  ,104.298     ,457.92  ,-170.91  ,5.4372
1984  ,104.397     ,494.02  ,8.8837E-15  ,47.799
1985  ,103.749     ,477.35  ,-4.6502E-15  ,47.633
1986  ,103.191     ,460.68  ,6.8982E-15  ,47.373
1987  ,103.358     ,460.68  ,-14.975  ,43.764
1988  ,103.593     ,460.68  ,-27.589  ,34.841
1989  ,104.635     ,460.68  ,-38.67  ,19.377
1990  ,104.066     ,460.68  ,-41.93  ,9.927
1991  ,103.733     ,460.68  ,-42.667  ,1.0734E-14
1992  ,103.761     ,477.35  ,-42.628  ,1.6166E-14
1993  ,103.865     ,494.02  ,-42.577  ,-1.9516E-15
1994  ,103.856     ,476.76  ,-38.356  ,20.024
1995  ,104.014     ,494.04  ,-38.893  ,18.733
1996  ,103.854     ,477.4  ,-30.103  ,32.346
1997  ,104.158     ,494.04  ,-30.089  ,32.381
1998  ,103.808     ,477.35  ,-18.91  ,41.815
1999  ,104.280     ,494.02  ,-18.944  ,41.9
2000  ,102.690     ,444.02  ,-5.6921E-16  ,47.086
2001  ,102.238     ,427.35  ,6.7085E-15  ,46.84
2002  ,103.956     ,427.35  ,-36.848  ,22.608
2003  ,104.385     ,444.02  ,-36.952  ,22.602
2004  ,102.739     ,435.68  ,-14.272  ,43.711
2005  ,103.127     ,435.68  ,-27.081  ,35.031
2006  ,30.000      ,93.545  ,9.2496E-16  ,38.058
2007  ,30.000      ,76.566  ,5.0822E-16  ,34.819
2008  ,30.000      ,59.745  ,-2.2057E-15  ,30.824
2009  ,30.000      ,43.082  ,2.1599E-15  ,26.259
2010  ,30.000      ,26.739  ,-4.79E-15  ,20.64
2011  ,30.000      ,11.053  ,1.1562E-15  ,13.293
2012  ,30.000      ,0  ,0  ,0
2013  ,30.290      ,9.3435  ,-12.05  ,8.0299E-16
2014  ,30.706      ,23.259  ,-18.141  ,-2.7596E-15
2015  ,31.516      ,37.676  ,-23.394  ,-3.4356E-15
2016  ,31.658      ,52.393  ,-13.018  ,24.823
2017  ,32.414      ,52.393  ,-23.415  ,14.163
2018  ,32.614      ,66.628  ,-14.13  ,27.854
2019  ,33.770      ,66.628  ,-25.411  ,15.999
2020  ,34.106      ,80.872  ,-15.288  ,30.46
2021  ,35.853      ,80.872  ,-27.036  ,17.47
2022  ,36.647      ,96.09  ,-16.26  ,33.013
2023  ,38.917      ,96.09  ,-29.26  ,19.026
2024  ,31.142      ,37.618  ,-15.895  ,16.987
2025  ,30.560      ,23.327  ,-12.447  ,13.157
2026  ,114.607     ,294.07  ,-53.362  ,21.32
2027  ,104.209     ,494.02  ,42.452  ,-3.3695E-15
2028  ,103.347     ,477.35  ,42.51  ,1.0236E-14
2029  ,102.385     ,460.68  ,42.565  ,1.5444E-13
2030  ,102.002     ,460.68  ,41.814  ,9.9583
2031  ,101.349     ,460.68  ,38.578  ,19.419
2032  ,101.764     ,460.68  ,36.934  ,22.603
2033  ,102.689     ,460.68  ,27.476  ,34.814
2034  ,103.003     ,460.68  ,14.936  ,43.684
2035  ,103.365     ,477.53  ,40.442  ,14.854
2036  ,104.347     ,494.87  ,40.363  ,14.98
2037  ,103.497     ,477.35  ,30.139  ,32.206
2038  ,104.403     ,494.02  ,30.069  ,32.355
2039  ,103.638     ,477.35  ,19.03  ,41.641
2040  ,104.431     ,494.02  ,18.983  ,41.8
2041  ,101.435     ,444.02  ,42.614  ,-1.4403E-14
2042  ,100.657     ,427.35  ,42.652  ,-9.956E-15
2043  ,99.249      ,424.25  ,41.984  ,8.9844
2044  ,99.780      ,437.8  ,41.661  ,10.574
2045  ,100.326     ,451.36  ,41.268  ,12.168
2046  ,100.582     ,457.41  ,40.635  ,14.269
2047  ,30.000      ,93.625  ,35.317  ,2.2565E-14
2048  ,30.000      ,76.62  ,32.177  ,-1.0448E-14
2049  ,30.000      ,59.526  ,29.657  ,1.3953E-18
2050  ,30.000      ,43  ,24.963  ,-2.998E-17
2051  ,30.000      ,26.706  ,19.535  ,4.7157E-15
2052  ,30.000      ,10.737  ,13.248  ,1.6349E-18
2053  ,30.000      ,52.393  ,23.485  ,13.947
2054  ,30.000      ,52.393  ,13.349  ,24.561
2055  ,30.000      ,66.622  ,25.581  ,15.995
2056  ,30.000      ,66.622  ,14.346  ,27.845
2057  ,30.000      ,80.86  ,26.693  ,17.865
2058  ,30.000      ,80.86  ,14.682  ,30.789
2059  ,30.000      ,96.071  ,29.26  ,19.038
2060  ,30.000      ,96.071  ,16.28  ,33.005
2061  ,30.000      ,37.624  ,15.9  ,17.009
2062  ,30.000      ,23.339  ,12.327  ,13.282
2063  ,76.616      ,460.68  ,134.63  ,10.28
2064  ,79.848      ,460.68  ,118.39  ,12.73
2065  ,83.433      ,460.68  ,102.15  ,15.177
2066  ,87.320      ,460.68  ,85.9  ,17.503
2067  ,91.504      ,460.68  ,69.619  ,19.589
2068  ,96.095      ,460.68  ,53.302  ,21.325
2069  ,101.092     ,461.17  ,38.716  ,22.491
2070  ,95.398      ,463.8  ,55.161  ,21.149
2071  ,90.650      ,467.33  ,71.406  ,19.376
2072  ,86.239      ,471.67  ,87.488  ,17.284
2073  ,82.164      ,476.73  ,103.44  ,14.984
2074  ,78.491      ,482.44  ,119.3  ,12.588
2075  ,75.284      ,488.73  ,135.1  ,10.206
2076  ,75.326      ,475.81  ,139.19  ,9.607
2077  ,110.227     ,460.68  ,-54.543  ,14.225
2078  ,96.380      ,460.68  ,51.835  ,14.942
2079  ,92.394      ,460.68  ,65.476  ,11.753
2080  ,103.900     ,494.02  ,19.964  ,-33.307
2081  ,103.428     ,477.35  ,19.682  ,-33.307
2082  ,102.914     ,460.68  ,19.725  ,-33.307
2083  ,102.800     ,460.68  ,30.77  ,-24.77
2084  ,102.640     ,460.68  ,38.83  ,-13.408
2085  ,103.738     ,485.68  ,35.365  ,-19.121
2086  ,103.065     ,469.02  ,35.377  ,-19.142
2087  ,30.000      ,94.275  ,27.493  ,-33.307
2088  ,30.000      ,78.197  ,24.087  ,-33.307
2089  ,30.000      ,64.669  ,14.636  ,-33.307
2090  ,30.000      ,37.509  ,7.8774E-15  ,-26.718
2091  ,30.000      ,23.174  ,8.6194E-15  ,-20.363
2092  ,30.000      ,9.8968  ,-2.5228E-15  ,-12.26
2093  ,30.000      ,52.393  ,13.602  ,-26.868
2094  ,30.000      ,52.393  ,23.95  ,-15.061
2095  ,30.000      ,66.628  ,27.302  ,-18.593
2096  ,30.000      ,80.872  ,31.542  ,-17.629
2097  ,30.000      ,96.09  ,34.391  ,-17.285
2098  ,30.000      ,37.618  ,16.236  ,-18.355
2099  ,30.000      ,23.326  ,12.568  ,-14.037
2100  ,103.479     ,460.68  ,-38.778  ,-13.43
2101  ,103.312     ,460.68  ,-30.566  ,-24.791
2102  ,103.184     ,460.68  ,-19.421  ,-33.307
2103  ,103.501     ,477.35  ,-19.43  ,-33.307
2104  ,103.724     ,494.02  ,-19.799  ,-33.307
2105  ,103.695     ,485.68  ,-35.35  ,-19.094
2106  ,103.506     ,469.02  ,-35.309  ,-19.111
2107  ,30.599      ,23.326  ,-12.608  ,-13.981
2108  ,31.337      ,37.614  ,-16.295  ,-18.32
2109  ,103.111     ,460.68  ,-10.072  ,-37.218
2110  ,103.046     ,460.68  ,-5.1635E-15  ,-38.713
2111  ,103.450     ,477.35  ,-6.0275E-15  ,-38.723
2112  ,103.776     ,494.02  ,-6.2206E-15  ,-38.949
2113  ,34.610      ,68.724  ,-1.4393E-14  ,-42.699
2114  ,36.557      ,80.947  ,-2.2412E-15  ,-51.155
2115  ,38.857      ,95.725  ,2.0126E-15  ,-53.2
2116  ,37.320      ,82.886  ,-13.368  ,-46.848
2117  ,39.854      ,96.913  ,-15.248  ,-47.633
2118  ,102.983     ,460.68  ,10.205  ,-37.286
2119  ,35.432      ,82.885  ,13.755  ,-46.691
2120  ,37.721      ,96.926  ,15.212  ,-47.637
2121  ,102.393     ,444.01  ,20.168  ,-33.307
2122  ,101.895     ,427.34  ,21.046  ,-33.307
2123  ,101.762     ,435.68  ,35.821  ,-18.994
2124  ,101.203     ,419.01  ,36.26  ,-18.823
2125  ,103.681     ,444.02  ,-42.694  ,1.6263E-15
2126  ,103.484     ,427.35  ,-42.707  ,-1.4149E-14
2127  ,102.499     ,427.33  ,-20.802  ,-33.307
2128  ,102.840     ,444  ,-19.864  ,-33.307
2129  ,103.009     ,435.68  ,-35.721  ,-18.961
2130  ,105.031     ,457.4  ,-40.729  ,14.246
2131  ,104.970     ,451.38  ,-41.366  ,12.165
2132  ,104.726     ,437.82  ,-41.757  ,10.571
2133  ,104.321     ,424.25  ,-42.06  ,8.9811
2134  ,100.597     ,444.02  ,36.85  ,22.608
2135  ,100.017     ,427.35  ,36.753  ,22.614
2136  ,101.662     ,435.68  ,27.014  ,34.952
2137  ,102.149     ,435.68  ,14.252  ,43.632
2138  ,102.620     ,444.02  ,-9.2293E-15  ,-38.976
2139  ,102.203     ,427.35  ,2.1061E-14  ,-39.566
2140  ,117.381     ,831.83  ,104.39  ,-24.09
2141  ,117.293     ,843.08  ,117.08  ,-24.668
2142  ,117.248     ,854.33  ,129.76  ,-25.246
2143  ,117.198     ,850.64  ,74.801  ,-26.412
2144  ,117.452     ,835.66  ,74.801  ,-26.854
2145  ,117.282     ,849.54  ,89.367  ,-26.889
2146  ,117.457     ,833.41  ,88.427  ,-27.337
2147  ,117.329     ,843.44  ,102.05  ,-27.456
2148  ,117.280     ,849.37  ,114.82  ,-27.67
2149  ,116.993     ,850.57  ,59.383  ,-25.943
2150  ,117.411     ,835.59  ,60.07  ,-26.407
2151  ,116.536     ,850.51  ,43.429  ,-25.459
2152  ,117.246     ,835.53  ,44.621  ,-25.938
2153  ,115.554     ,850.45  ,27.114  ,-24.963
2154  ,116.858     ,835.47  ,28.659  ,-25.453
2155  ,117.453     ,835.58  ,73.756  ,-22.693
2156  ,117.188     ,850.58  ,73.756  ,-22.693
2157  ,117.422     ,835.58  ,91.135  ,-23.485
2158  ,117.276     ,850.58  ,91.135  ,-23.485
2159  ,117.283     ,850.53  ,108.51  ,-24.278
2160  ,117.379     ,835.58  ,56.376  ,-21.901
2161  ,116.930     ,850.58  ,56.376  ,-21.901
2162  ,117.120     ,835.58  ,38.997  ,-21.108
2163  ,116.332     ,850.58  ,38.997  ,-21.108
2164  ,116.373     ,835.58  ,21.618  ,-20.316
2165  ,115.016     ,850.58  ,21.618  ,-20.316
2166  ,114.362     ,849.85  ,-54.917  ,-25.828
2167  ,114.490     ,837.98  ,-55.555  ,-26.199
2168  ,114.542     ,835.96  ,-42.447  ,-25.859
2169  ,114.192     ,842.97  ,-26.034  ,-25.151
2170  ,114.223     ,850.42  ,-40.872  ,-25.383
2171  ,114.564     ,835.58  ,-37.53  ,-21.041
2172  ,114.176     ,850.58  ,-37.53  ,-21.041
2173  ,113.708     ,850.58  ,-20.855  ,-20.281
2174  ,114.519     ,835.58  ,-54.205  ,-21.802
2175  ,114.353     ,850.58  ,-54.205  ,-21.802
2176  ,92.202      ,457.08  ,66.747  ,10.77
2177  ,95.895      ,453.96  ,54.066  ,11.612
2178  ,85.011      ,443.99  ,96.627  ,5.3195
2179  ,85.346      ,427.32  ,96.607  ,3.387
2180  ,81.680      ,444.02  ,110.62  ,3.1127
2181  ,81.996      ,427.36  ,110.22  ,1.2439
2182  ,78.608      ,444.05  ,124.21  ,0.85236
2183  ,78.768      ,427.38  ,123.36  ,-0.93799
2184  ,75.884      ,444.05  ,137.32  ,-1.365
2185  ,75.682      ,427.37  ,135.96  ,-3.0694
2186  ,88.560      ,443.96  ,82.289  ,7.3679
2187  ,88.797      ,427.29  ,82.602  ,5.3909
2188  ,92.344      ,441.65  ,67.734  ,8.8745
2189  ,92.341      ,426.13  ,68.305  ,7.011
2190  ,96.272      ,439.23  ,52.995  ,9.9898
2191  ,95.938      ,424.92  ,53.757  ,8.2692
2192  ,86.280      ,427.32  ,94.545  ,16.292
2193  ,85.877      ,443.98  ,94.523  ,16.293
2194  ,82.823      ,427.36  ,108.73  ,14.198
2195  ,82.399      ,444.02  ,109.13  ,14.136
2196  ,79.496      ,427.39  ,122.39  ,12.125
2197  ,79.186      ,444.05  ,123.27  ,11.99
2198  ,76.361      ,427.38  ,135.46  ,10.16
2199  ,76.322      ,444.06  ,136.87  ,9.9508
2200  ,89.845      ,427.29  ,79.904  ,18.307
2201  ,89.584      ,443.95  ,79.528  ,18.356
2202  ,93.514      ,427.27  ,64.874  ,20.136
2203  ,93.527      ,443.92  ,64.2  ,20.211
2204  ,97.218      ,427.25  ,49.511  ,21.667
2205  ,97.718      ,443.9  ,48.588  ,21.746
2206  ,110.175     ,454.44  ,-56.2  ,11.489
2207  ,107.199     ,429.16  ,-56.534  ,8.5276
2208  ,108.658     ,442.59  ,-56.377  ,10.099
2209  ,106.999     ,433.1  ,-53.982  ,21.261
2210  ,108.709     ,449.46  ,-54.014  ,21.258
2211  ,103.270     ,465.82  ,-12.059  ,-24.521
2212  ,103.471     ,469.97  ,-16.513  ,-7.8986
2213  ,103.558     ,479.63  ,-9.1094  ,-18.387
2214  ,103.268     ,465.34  ,-5.0602  ,-6.8487
2215  ,103.277     ,449.95  ,-19.481  ,2.3563
2216  ,103.584     ,460.05  ,-27.509  ,1.5255
2217  ,103.491     ,470.56  ,-10.08  ,3.2326
2218  ,111.440     ,864.87  ,-1.9129  ,-24.099
2219  ,103.765     ,486.38  ,-19.601  ,-4.9996
2220  ,103.483     ,477.24  ,5.6205  ,-12.248
2221  ,103.188     ,467.31  ,8.3633  ,6.6273
2222  ,103.016     ,456.85  ,0.15531  ,15.909
2223  ,102.992     ,447.74  ,-13.573  ,-10.03
2224  ,102.775     ,450.68  ,1.9468  ,-8.6675
2225  ,103.065     ,462.09  ,3.3157  ,-18.462
2226  ,103.202     ,471.05  ,19.324  ,-7.7768
2227  ,103.175     ,457.95  ,-16.03  ,-18.548
2228  ,96.782      ,277.51  ,-5.9507  ,-11.03
2229  ,96.041      ,280.96  ,-3.2901  ,-26.493
2230  ,100.276     ,286.44  ,-20.145  ,-20.238
2231  ,97.026      ,278.15  ,-15.967  ,-28.969
2232  ,93.000      ,264.34  ,2.0601  ,-5.1328
2233  ,96.006      ,269.68  ,-7.3691  ,-0.46714
2234  ,90.846      ,250.95  ,-8.4263  ,-3.2733
2235  ,93.627      ,261.3  ,-10.342  ,-14.789
2236  ,96.316      ,261.33  ,-17.698  ,-2.5271
2237  ,103.155     ,270.15  ,-30.161  ,-9.3828
2238  ,103.552     ,272.22  ,-26.936  ,1.9151
2239  ,99.250      ,258.8  ,-30.797  ,-9.1244
2240  ,93.526      ,251.5  ,-19.359  ,3.6755
2241  ,90.626      ,246.26  ,-20.788  ,-11.196
2242  ,97.917      ,270.66  ,-16.121  ,-8.4183
2243  ,95.834      ,259.61  ,-24.481  ,-16.915
2244  ,103.660     ,484.26  ,17.178  ,-18.691
2245  ,103.066     ,466.64  ,19.389  ,-18.71
2246  ,104.075     ,495.84  ,21.808  ,-16.094
2247  ,36.155      ,79.624  ,-16.399  ,-14.048
2248  ,103.651     ,481.48  ,13.719  ,1.802
2249  ,104.045     ,491.52  ,24.36  ,-1.3123
2250  ,101.988     ,415.71  ,-1.5381  ,1.0722
2251  ,102.101     ,426.55  ,3.3244  ,-10
2252  ,101.784     ,427.09  ,11.033  ,6.8919
2253  ,102.570     ,437.75  ,-3.3128  ,2.303
2254  ,102.146     ,419.63  ,-3.2496  ,18.145
2255  ,102.168     ,407.43  ,-12.759  ,-8.5038
2256  ,101.793     ,409.92  ,0.69474  ,-12.479
2257  ,112.973     ,566.07  ,27.344  ,10.223
2258  ,109.715     ,554.68  ,29.563  ,0.54216
2259  ,32.213      ,50.796  ,-14.677  ,-1.6736
2260  ,105.693     ,563.37  ,19.571  ,-12.305
2261  ,109.337     ,571.64  ,29.812  ,-6.4754
2262  ,107.380     ,553.76  ,10.108  ,9.6243
2263  ,109.417     ,544.11  ,23.946  ,19.576
2264  ,106.522     ,571.94  ,14.57  ,0.59028
2265  ,100.378     ,578.65  ,-8.9922  ,7.8196
2266  ,99.472      ,583.5  ,-0.071245  ,-5.4702
2267  ,104.748     ,583.81  ,6.7086  ,10.897
2268  ,92.677      ,595.18  ,-13.035  ,0.094994
2269  ,110.870     ,571.97  ,1.3388  ,31.78
2270  ,94.977      ,588.54  ,-21.417  ,18.52
2271  ,102.130     ,555.52  ,-26.754  ,8.8311
2272  ,106.467     ,562.17  ,-2.4453  ,18.44
2273  ,105.105     ,538.73  ,-12.018  ,17.678
2274  ,103.821     ,554.25  ,-22.048  ,20.525
2275  ,103.340     ,567.53  ,-18.172  ,23.854
2276  ,101.778     ,411.28  ,2.2342  ,34.085
2277  ,100.982     ,397.34  ,14.486  ,29.705
2278  ,93.575      ,255.6  ,-12.846  ,18.015
2279  ,96.361      ,253.65  ,-24.961  ,18.044
2280  ,100.830     ,263.52  ,-25.732  ,11.377
2281  ,87.501      ,235.63  ,-25.064  ,15.522
2282  ,89.266      ,244.09  ,-11.146  ,11.604
2283  ,97.483      ,267.23  ,-14.43  ,8.4738
2284  ,84.239      ,231.31  ,-9.1817  ,4.3753
2285  ,42.198      ,123.11  ,17.672  ,15.351
2286  ,119.958     ,589.83  ,-390.84  ,-4.9611
2287  ,110.951     ,329.48  ,-87.926  ,6.3006
2288  ,102.290     ,402.66  ,-15.353  ,6.7237
2289  ,102.640     ,421.2  ,-16.545  ,2.9041
2290  ,101.667     ,399.57  ,-1.7116  ,3.2718
2291  ,101.015     ,395.33  ,12.102  ,-2.5403
2292  ,101.117     ,384.03  ,4.3793  ,4.9147
2293  ,101.090     ,397.86  ,10.179  ,14.502
2294  ,72.852      ,644.43  ,-29.306  ,0.17755
2295  ,75.914      ,644.22  ,-18.886  ,-16.177
2296  ,77.057      ,649.85  ,-14.244  ,-4.893
2297  ,101.884     ,391.31  ,-11.71  ,-7.7241
2298  ,80.563      ,660.36  ,-1.8389  ,-8.7626
2299  ,81.900      ,647.74  ,-0.21347  ,-25.143
2300  ,79.478      ,660.58  ,-6.4512  ,-20.643
2301  ,83.850      ,638.78  ,2.5623  ,-12.019
2302  ,84.085      ,653.09  ,11.063  ,-3.9293
2303  ,83.361      ,655.83  ,6.7544  ,-18.783
2304  ,82.740      ,675.33  ,-0.95971  ,-22.339
2305  ,77.049      ,665.83  ,-10.999  ,0.020668
2306  ,74.740      ,660.16  ,-19.922  ,-20.083
2307  ,81.719      ,653.06  ,6.533  ,8.3632
2308  ,83.324      ,673.32  ,6.5991  ,-4.5555
2309  ,101.987     ,721.19  ,3.2915  ,-15.197
2310  ,105.925     ,721.13  ,1.948  ,-28.018
2311  ,96.062      ,703.28  ,3.3892  ,-26.097
2312  ,103.175     ,707.43  ,15.221  ,-20.661
2313  ,92.807      ,706.15  ,1.7236  ,-11.333
2314  ,100.378     ,711.2  ,17.468  ,-1.2699
2315  ,92.153      ,716.26  ,-10.681  ,-16.125
2316  ,108.791     ,731.64  ,3.8968  ,-22.979
2317  ,96.534      ,721.43  ,-0.69831  ,-2.4217
2318  ,103.906     ,497.65  ,-25.388  ,-1.4208
2319  ,103.766     ,494.56  ,-21.117  ,-18.222
2320  ,104.070     ,501.01  ,-28.408  ,11.651
2321  ,103.855     ,482.68  ,-25.407  ,12.143
2322  ,104.206     ,497.41  ,-12.157  ,15.873
2323  ,114.616     ,804.8  ,-62.68  ,-23.755
2324  ,98.291      ,294.73  ,-2.7912  ,-19.038
2325  ,96.244      ,284.94  ,5.0928  ,-13.866
2326  ,99.915      ,294.29  ,-8.8425  ,-5.6156
2327  ,99.992      ,279.86  ,-15.432  ,-1.9529
2328  ,96.098      ,281.28  ,5.8545  ,8.4271
2329  ,93.942      ,274.66  ,12.616  ,-7.591
2330  ,94.642      ,266.87  ,-2.3821  ,11.822
2331  ,92.465      ,266.42  ,13.179  ,2.3208
2332  ,98.131      ,284.94  ,-4.4928  ,20.598
2333  ,91.073      ,255.73  ,2.0005  ,4.4679
2334  ,119.967     ,580.21  ,-369.06  ,-4.4548
2335  ,95.050      ,285.65  ,23.312  ,5.3281
2336  ,92.483      ,270.01  ,25.535  ,3.9264
2337  ,89.025      ,252.98  ,14.931  ,-4.0486
2338  ,30.567      ,41.226  ,8.8454  ,0
2339  ,90.523      ,257.78  ,14.935  ,11.754
2340  ,93.778      ,269.33  ,7.7956  ,16.677
2341  ,94.326      ,277.72  ,20.146  ,20.649
2342  ,74.542      ,206.41  ,6.9218  ,-23.164
2343  ,70.618      ,194.86  ,0.90538  ,-30.775
2344  ,73.157      ,201.64  ,-3.378  ,-11.854
2345  ,69.706      ,192.44  ,10.173  ,-11.65
2346  ,69.859      ,193.12  ,16.241  ,-30.843
2347  ,74.825      ,207.05  ,-1.3848  ,-41.3
2348  ,75.291      ,208.5  ,12.412  ,-3.9313
2349  ,79.472      ,220.2  ,-1.0568  ,-18.298
2350  ,76.848      ,213.85  ,20.74  ,-20.612
2351  ,75.852      ,209.2  ,-14.878  ,-31.845
2352  ,101.359     ,404.54  ,13.836  ,-22.886
2353  ,101.221     ,411.72  ,20.659  ,-12.214
2354  ,101.925     ,420.54  ,5.9923  ,-23.12
2355  ,100.822     ,398.9  ,25.172  ,-15.993
2356  ,101.336     ,386.28  ,0.45422  ,-22.832
2357  ,101.736     ,404.32  ,-1.9651  ,-29.092
2358  ,100.629     ,353.7  ,1.8059  ,-33.955
2359  ,100.838     ,372.56  ,9.0783  ,-32.381
2360  ,100.259     ,360.68  ,16.255  ,-20.727
2361  ,100.967     ,344.65  ,-10.568  ,-31.161
2362  ,99.922      ,344.68  ,13.973  ,-26.233
2363  ,103.511     ,468.19  ,-9.4454  ,25.08
2364  ,103.691     ,478.87  ,4.1134  ,18.967
2365  ,103.918     ,489.29  ,-4.984  ,3.9578
2366  ,103.754     ,469.33  ,-25.822  ,19.387
2367  ,103.631     ,455.63  ,-24.101  ,19.045
2368  ,103.155     ,453.67  ,-9.6058  ,29.369
2369  ,103.338     ,447.05  ,-20.548  ,25.061
2370  ,103.063     ,460.42  ,6.0373  ,32.79
2371  ,38.677      ,97.584  ,2.4084  ,-40.154
2372  ,43.229      ,115.47  ,2.9721  ,-39.203
2373  ,36.613      ,103.85  ,17.46  ,-26.257
2374  ,35.167      ,90.823  ,12.841  ,-29.858
2375  ,40.875      ,102.38  ,-11.947  ,-36.604
2376  ,39.369      ,101.38  ,-0.94135  ,-24.967
2377  ,114.110     ,273.15  ,-44.207  ,6.1538
2378  ,110.581     ,263.17  ,-40.816  ,8.6008
2379  ,108.498     ,264.03  ,-37.903  ,1.5451
2380  ,105.684     ,284.19  ,-29.777  ,-8.3932
2381  ,102.085     ,377.48  ,-23.814  ,-14.391
2382  ,102.174     ,364.65  ,-22.652  ,-8.0759
2383  ,101.736     ,361.92  ,-20.738  ,-23.062
2384  ,101.930     ,379.26  ,-14.733  ,-1.8906
2385  ,102.853     ,382.41  ,-31.506  ,3.2357
2386  ,102.444     ,392.51  ,-27.844  ,-8.0012
2387  ,101.757     ,392.64  ,-11.512  ,-25.133
2388  ,87.451      ,684.95  ,5.3663  ,-23.254
2389  ,82.635      ,664.4  ,2.5308  ,-29.72
2390  ,78.720      ,649.68  ,-9.5984  ,-29.027
2391  ,87.690      ,676.9  ,17.112  ,-16.102
2392  ,85.766      ,656.95  ,18.592  ,-21.958
2393  ,84.684      ,651.22  ,12.265  ,-27.191
2394  ,99.686      ,348.68  ,18.449  ,22.604
2395  ,100.084     ,344.75  ,9.7523  ,9.2163
2396  ,100.413     ,346.29  ,7.0214  ,32.568
2397  ,100.138     ,333.42  ,5.9698  ,29.36
2398  ,101.048     ,336.98  ,-5.3277  ,25.831
2399  ,101.190     ,330.74  ,-6.2726  ,6.7602
2400  ,100.401     ,317.6  ,-4.4853  ,31.352
2401  ,101.388     ,352.47  ,-8.3907  ,27.988
2402  ,102.403     ,342.04  ,-19.154  ,17.392
2403  ,102.581     ,329.03  ,-18.93  ,17.337
2404  ,98.947      ,324.14  ,15.266  ,-5.5498
2405  ,101.289     ,317.67  ,-9.4277  ,-3.1598
2406  ,98.885      ,307.22  ,3.9499  ,-10.89
2407  ,99.876      ,324.45  ,2.0836  ,-18.903
2408  ,98.815      ,312.73  ,9.9269  ,3.0896
2409  ,98.331      ,332.13  ,30.121  ,-5.0101
2410  ,98.031      ,320.4  ,26.783  ,-10.88
2411  ,97.912      ,323.3  ,28.025  ,2.2174
2412  ,99.524      ,330.09  ,11.52  ,10.079
2413  ,100.169     ,337.98  ,5.9515  ,-4.1105
2414  ,80.814      ,224.47  ,8.882  ,-0.093466
2415  ,78.947      ,216.82  ,-6.9008  ,14.868
2416  ,74.935      ,207.38  ,20.761  ,12.682
2417  ,76.656      ,210.97  ,-5.6702  ,1.0945
2418  ,82.129      ,227.65  ,7.2191  ,14.133
2419  ,70.748      ,193.79  ,-16.889  ,12.517
2420  ,70.446      ,194.01  ,3.7278  ,6.0129
2421  ,77.117      ,211.83  ,-17.84  ,-13.62
2422  ,78.156      ,213.55  ,-24.186  ,0.012777
