Date:  17:02, ÐÇÆÚ¶þ, ¾ÅÔÂ 22, 2020
Model name:u_cylinder_shell
Study name:Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (m)  ,Y (m)  ,Z (m)
95  ,158.949     ,10.09804440  ,-2.58544588  ,20.49161148
96  ,159.417     ,9.73934174  ,-1.88266051  ,20.68215370
97  ,158.689     ,9.80311966  ,-3.21779656  ,20.25674057
98  ,159.195     ,9.44030857  ,-2.45926213  ,20.51241302
99  ,158.945     ,9.15442276  ,-3.05017781  ,20.28083611
100  ,162.096     ,10.67722797  ,3.84075022  ,19.93975830
101  ,161.680     ,11.33387852  ,3.66480112  ,19.93975830
102  ,161.240     ,11.94999981  ,3.37749910  ,19.93975830
103  ,160.857     ,12.43161011  ,3.04914284  ,19.93975830
104  ,160.480     ,12.85890198  ,2.65267372  ,19.93975830
105  ,160.115     ,13.22233105  ,2.19694829  ,19.93975830
106  ,159.768     ,13.51377869  ,1.69214654  ,19.93975830
107  ,159.444     ,13.72673416  ,1.14954519  ,19.93975830
108  ,159.147     ,13.85644054  ,0.58126485  ,19.93975830
109  ,160.563     ,12.32591248  ,2.32591295  ,20.22918129
110  ,160.539     ,11.87905598  ,1.87905645  ,20.46858215
111  ,160.500     ,11.42003727  ,1.42003763  ,20.65640831
112  ,160.449     ,10.95182896  ,0.95182890  ,20.79144478
113  ,160.383     ,10.47745895  ,0.47745904  ,20.87281799
114  ,160.954     ,11.86894608  ,2.73038197  ,20.22088432
115  ,160.923     ,11.42892742  ,2.28786564  ,20.45511436
116  ,160.877     ,10.97297955  ,1.82676160  ,20.64102364
117  ,160.813     ,10.49930382  ,1.33939576  ,20.77748299
118  ,161.344     ,11.35709286  ,3.05121565  ,20.20768356
119  ,161.297     ,10.92465687  ,2.60107231  ,20.43343735
120  ,161.228     ,10.47254658  ,2.11440659  ,20.61578560
121  ,161.720     ,10.82001686  ,3.29401708  ,20.18355560
122  ,161.648     ,10.41786957  ,2.84341121  ,20.39306068
123  ,160.181     ,12.73038197  ,1.86894560  ,20.22088432
124  ,160.163     ,12.28786564  ,1.42892730  ,20.45511436
125  ,160.131     ,11.82676125  ,0.97298002  ,20.64102364
126  ,160.086     ,11.33939552  ,0.49930373  ,20.77748299
127  ,159.818     ,13.05121613  ,1.35709286  ,20.20768356
128  ,159.809     ,12.60107231  ,0.92465651  ,20.43343735
129  ,159.789     ,12.11440659  ,0.47254670  ,20.61578560
130  ,159.483     ,13.29401684  ,0.82001680  ,20.18355560
131  ,159.488     ,12.84341145  ,0.41786984  ,20.39306068
132  ,161.198     ,6.14355993  ,-0.58126485  ,19.93975830
133  ,160.791     ,6.27326584  ,-1.14954519  ,19.93975830
134  ,160.389     ,6.48622131  ,-1.69214654  ,19.93975830
135  ,160.003     ,6.77766895  ,-2.19694829  ,19.93975830
136  ,159.641     ,7.14109755  ,-2.65267372  ,19.93975830
137  ,159.311     ,7.56838989  ,-3.04914284  ,19.93975830
138  ,157.604     ,11.94999981  ,-3.37749910  ,19.27509880
139  ,157.159     ,11.94999981  ,-3.37749910  ,18.61044121
140  ,156.653     ,11.94999981  ,-3.37749910  ,17.94578171
141  ,156.080     ,11.94999981  ,-3.37749910  ,17.28112411
142  ,155.434     ,11.94999981  ,-3.37749910  ,16.61646461
143  ,154.709     ,11.94999981  ,-3.37749910  ,15.95180607
144  ,153.901     ,11.94999981  ,-3.37749910  ,15.28714752
145  ,153.007     ,11.94999981  ,-3.37749910  ,14.62248898
146  ,152.024     ,11.94999981  ,-3.37749910  ,13.95783043
147  ,150.952     ,11.94999981  ,-3.37749910  ,13.29317188
