Date:  17:12, ÐÇÆÚ¶þ, ¾ÅÔÂ 22, 2020
Model name:u_cylinder_shell
Study name:Thermal 2(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (m)  ,Y (m)  ,Z (m)
1  ,77.010      ,6.09999990  ,0.00000000  ,19.93975830
2  ,76.591      ,6.17493725  ,0.76085228  ,19.93975830
3  ,76.244      ,6.39686966  ,1.49246538  ,19.93975830
4  ,76.006      ,6.75726843  ,2.16672397  ,19.93975830
5  ,75.901      ,7.24228334  ,2.75771642  ,19.93975830
6  ,75.937      ,7.83327627  ,3.24273157  ,19.93975830
7  ,76.115      ,8.50753498  ,3.60313010  ,19.93975830
8  ,76.419      ,9.23914814  ,3.82506251  ,19.93975830
9  ,76.830      ,10.00000000  ,3.90000010  ,19.93975830
10  ,77.157      ,10.00000000  ,3.28933811  ,20.22918129
11  ,77.481      ,10.00000000  ,2.65738702  ,20.46858215
12  ,77.796      ,10.00000000  ,2.00823712  ,20.65640831
13  ,78.106      ,10.00000000  ,1.34608948  ,20.79144478
14  ,78.410      ,10.00000000  ,0.67522985  ,20.87281609
15  ,78.710      ,10.00000000  ,0.00000000  ,20.89999962
16  ,78.418      ,9.32476997  ,0.00000000  ,20.87281609
17  ,78.129      ,8.65391064  ,0.00000000  ,20.79144478
18  ,77.844      ,7.99176311  ,0.00000000  ,20.65640831
19  ,77.562      ,7.34261274  ,0.00000000  ,20.46858215
20  ,77.285      ,6.71066189  ,0.00000000  ,20.22918129
21  ,76.523      ,7.76234484  ,2.23765492  ,20.28111839
22  ,77.110      ,8.30325603  ,1.69674361  ,20.54997635
23  ,77.667      ,8.85997772  ,1.14002252  ,20.74382782
24  ,78.199      ,9.42732048  ,0.57267916  ,20.86086655
25  ,76.597      ,7.26312351  ,1.66419137  ,20.26530647
26  ,77.163      ,7.79684401  ,1.13732803  ,20.52574539
27  ,77.716      ,8.36676121  ,0.58509725  ,20.71889305
28  ,76.787      ,6.89208555  ,1.02026081  ,20.23692131
29  ,77.324      ,7.43287039  ,0.52247834  ,20.48103142
30  ,76.546      ,8.33580875  ,2.73687673  ,20.26530647
31  ,77.124      ,8.86267185  ,2.20315623  ,20.52574539
32  ,77.689      ,9.41490269  ,1.63323879  ,20.71889305
33  ,76.688      ,8.97973919  ,3.10791421  ,20.23692131
34  ,77.253      ,9.47752094  ,2.56713080  ,20.48103142
35  ,80.982      ,11.94999981  ,-3.37749910  ,19.93975830
36  ,80.854      ,11.33387852  ,-3.66480112  ,19.93975830
37  ,80.676      ,10.67722797  ,-3.84075022  ,19.93975830
38  ,80.453      ,10.00000000  ,-3.90000010  ,19.93975830
39  ,80.181      ,9.32277203  ,-3.84075022  ,19.93975830
40  ,79.867      ,8.66612148  ,-3.66480112  ,19.93975830
41  ,79.517      ,8.05000019  ,-3.37749910  ,19.93975830
42  ,79.366      ,8.35533142  ,-2.84865022  ,20.22918129
